Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Larus argentatus,"Pontoppidan, 1763",NA,herring gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,argentatus,NA,,NA,native,S4 (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,204533,BIR
Larus brachyrhynchus,"Richardson, 1831",NA,short-billed gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,brachyrhynchus,NA,,NA,native,S4B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-09-11,Michael Hoebel,iNat:4046941,,1286964,BIR
Larus californicus,"(Lawrence, 1854)",NA,California gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,californicus,NA,,NA,native,S2S3B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2017-09-11,bobmcd’,iNat:7917878,,4385,BIR
Larus delawarensis,"Ord, 1815",NA,ring-billed gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,delawarensis,NA,,NA,native,S4?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2010-10-23,Michael Hoebel,iNat:4046992,,4364,BIR
Larus glaucescens,"(Naumann, 1840)",NA,glaucous-winged gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,glaucescens,NA,,NA,native,S4?B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2008-12-25,Steve Ansell,iNat:146666927,Many of our birds are hybrids (Larus glaucescens × occidentalis),4399,BIR
Larus glaucoides thayeri,"Brooks, WS, 1915",NA,Iceland gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,glaucoides,NA,thayeri,NA,native,S5N (2017),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2022-02-01,Jackson W.F. Chu,iNat:105999647,,556736,BIR
Larus heermanni,"Cassin, 1852",NA,Heermann’s gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,heermanni,NA,,NA,native,SUN (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,4353,BIR
Larus occidentalis,"(Audubon, 1839)",NA,western gull,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,Larus,occidentalis,NA,,NA,native,SUN (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,Many of our birds are hybrids (Larus glaucescens × occidentalis),4345,BIR
Sterna hirundo,"Linnaeus, 1758",NA,common tern,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Sterninae,,Sterna,hirundo,NA,,NA,native,SUM (2015),NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,4450,BIR
Anthus rubescens,"(Tunstall, 1771)",NA,American pipit,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Motacillidae,,,Anthus,rubescens,NA,,NA,native,"S5B,SNRN (2015)",NA,reported,unobserved,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,,,,,13732,BIR
Pandion haliaetus,"(Linnaeus, 1758)",NA,osprey,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Pandionidae,,,Pandion,haliaetus,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-06-20,Bridgit Spencer,iNat:2677178,,116999,BIR
Poecile rufescens,"(Townsend, 1837)",NA,chestnut-backed chickadee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Paridae,,,Poecile,rufescens,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-07-25,lesfreck,iNat:86518608,,144820,BIR
Cardellina pusilla,"(Wilson, 1811)",NA,Wilson’s warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Cardellina,pusilla,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2015-07-15,Michael Hoebel,iNat:4053962,,145276,BIR
Geothlypis tolmiei,"(Townsend, 1839)",NA,MacGillivray's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Geothlypis,tolmiei,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2013-05-17,Michael Hoebel,iNat:4046991,,145223,BIR
Geothlypis trichas,"(Linnaeus, 1766)",NA,common yellowthroat,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Geothlypis,trichas,NA,,NA,native,S5 (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-10,Michael Hoebel,iNat:4046958,,9721,BIR
Leiothlypis celata,"(Say, 1823)",NA,orange-crowned warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Leiothlypis,celata,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-04-09,Kristian Sigvardsen,iNat:2926959,,979757,BIR
Setophaga coronata auduboni,"(Townsend, 1837)",NA,Audubon's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Setophaga,coronata,NA,auduboni,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2016-03-26,Sarah Tweedale,iNat:2928685,,126562,BIR
Setophaga coronata coronata,"(Linnaeus, 1766)",NA,myrtle warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Setophaga,coronata,NA,coronata,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2011-05-01,Michael Hoebel,iNat:19562466,,132704,BIR
Setophaga nigrescens,"(Townsend, 1837)",NA,black-throated gray warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Setophaga,nigrescens,NA,,NA,native,S4S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-05-10,Michael Hoebel,iNat:4046971,,145254,BIR
Setophaga petechia,"(Linnaeus, 1766)",NA,yellow warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Setophaga,petechia,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2023-05-28,Zeke Gilmore,iNat:165237907,,145238,BIR
Setophaga townsendi,"(Townsend, 1837)",NA,Townsend's warbler,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Parulidae,,,Setophaga,townsendi,NA,,NA,native,S5B (2015),NA,confirmed,observed,2016,Galiano Naturalist,Galiano Bird Checklist,,NA,2014-04-21,Michael Hoebel,iNat:19548141,,145255,BIR
